feature,bin_label,fraud_rate,count
velocity_6h_to_24h,"(-0.0478, 0.465]",0.013346079824903458,79499
velocity_6h_to_24h,"(0.465, 0.727]",0.0106290645165348,79499
velocity_6h_to_24h,"(0.727, 0.942]",0.010138492308079347,79499
velocity_6h_to_24h,"(0.942, 1.108]",0.010767431036868388,79499
velocity_6h_to_24h,"(1.108, 1.243]",0.010125913533503566,79499
velocity_6h_to_24h,"(1.243, 1.37]",0.010616619286019775,79498
velocity_6h_to_24h,"(1.37, 1.503]",0.01002528333689732,79499
velocity_6h_to_24h,"(1.503, 1.656]",0.00988691681656373,79499
velocity_6h_to_24h,"(1.656, 1.882]",0.008717090781016113,79499
velocity_6h_to_24h,"(1.882, 8.621]",0.008276833670863784,79499
velocity_24h_to_4w,"(0.231, 0.687]",0.011006427753808223,79499
velocity_24h_to_4w,"(0.687, 0.775]",0.009484396030138743,79499
velocity_24h_to_4w,"(0.775, 0.85]",0.00973597152165436,79499
velocity_24h_to_4w,"(0.85, 0.912]",0.010780009811444169,79499
velocity_24h_to_4w,"(0.912, 0.977]",0.01153473628599102,79499
velocity_24h_to_4w,"(0.977, 1.052]",0.011107197665350071,79498
velocity_24h_to_4w,"(1.052, 1.128]",0.010666800840262142,79499
velocity_24h_to_4w,"(1.128, 1.205]",0.010515855545352771,79499
velocity_24h_to_4w,"(1.205, 1.307]",0.008893193625077045,79499
velocity_24h_to_4w,"(1.307, 2.953]",0.00880514220304658,79499
zip_count_4w_to_velocity_4w,"(-0.00079, 0.137]",0.008691933231864553,79499
zip_count_4w_to_velocity_4w,"(0.137, 0.176]",0.00942150215725984,79499
zip_count_4w_to_velocity_4w,"(0.176, 0.207]",0.009610183775896551,79499
zip_count_4w_to_velocity_4w,"(0.207, 0.237]",0.009346029509805155,79499
zip_count_4w_to_velocity_4w,"(0.237, 0.27]",0.009496974804714524,79499
zip_count_4w_to_velocity_4w,"(0.27, 0.311]",0.010188935570706182,79498
zip_count_4w_to_velocity_4w,"(0.311, 0.37]",0.01155989383514258,79499
zip_count_4w_to_velocity_4w,"(0.37, 0.477]",0.011081900401262909,79499
zip_count_4w_to_velocity_4w,"(0.477, 0.623]",0.011572472609718361,79499
zip_count_4w_to_velocity_4w,"(0.623, 1.951]",0.01155989383514258,79499
dob_emails_to_zip_count,"(-0.001, 0.00207]",0.022886172727729994,79524
dob_emails_to_zip_count,"(0.00207, 0.00316]",0.014149341583971626,79509
dob_emails_to_zip_count,"(0.00316, 0.00415]",0.010605908107292034,79484
dob_emails_to_zip_count,"(0.00415, 0.00515]",0.010153242243526836,79482
dob_emails_to_zip_count,"(0.00515, 0.0063]",0.009672955974842768,79500
dob_emails_to_zip_count,"(0.0063, 0.00764]",0.00866677568271299,79499
dob_emails_to_zip_count,"(0.00764, 0.00935]",0.007305215146730822,79806
dob_emails_to_zip_count,"(0.00935, 0.0118]",0.0068818344824102835,79194
dob_emails_to_zip_count,"(0.0118, 0.0163]",0.006489994591671174,79507
dob_emails_to_zip_count,"(0.0163, 19.0]",0.005711841376880882,79484
branch_count_to_zip_count,"(-0.001, 0.000583]",0.01657882489087913,158998
branch_count_to_zip_count,"(0.000583, 0.00126]",0.0133838161486308,79499
branch_count_to_zip_count,"(0.00126, 0.00305]",0.00988356009355431,79526
branch_count_to_zip_count,"(0.00305, 0.00592]",0.008667429836589385,79493
branch_count_to_zip_count,"(0.00592, 0.00973]",0.007548594074353651,79485
branch_count_to_zip_count,"(0.00973, 0.016]",0.008211977162403482,79518
branch_count_to_zip_count,"(0.016, 0.041]",0.007574804338525807,79474
branch_count_to_zip_count,"(0.041, 0.553]",0.006805288249871064,79497
branch_count_to_zip_count,"(0.553, 549.0]",0.00729568925395288,79499
credit_limit_to_income,"(211.10999999999999, 222.222]",0.012580602071670572,82349
credit_limit_to_income,"(222.222, 285.714]",0.006943775557559784,114203
credit_limit_to_income,"(285.714, 333.333]",0.005572423647079836,55990
credit_limit_to_income,"(333.333, 500.0]",0.005580311236032084,72935
credit_limit_to_income,"(500.0, 666.667]",0.010163559264992933,74285
credit_limit_to_income,"(666.667, 1111.111]",0.008137982717032389,85402
credit_limit_to_income,"(1111.111, 1875.0]",0.020491079314608727,90576
credit_limit_to_income,"(1875.0, 2000.0]",0.0044827344680254955,99939
credit_limit_to_income,"(2000.0, 2500.0]",0.02281892159466834,41413
credit_limit_to_income,"(2500.0, 21000.0]",0.011605068231125717,77897
