model,group_attribute,group,feature,mean_abs_shap,mean_shap,n_rows
hyperparameter_tuned | CatBoost,housing_status,BA,device_os,0.46997053837726216,0.07314284824136208,278
hyperparameter_tuned | CatBoost,housing_status,BA,has_other_cards,0.4043132676455751,-0.034019081694945545,278
hyperparameter_tuned | CatBoost,housing_status,BA,housing_status,0.39366399771731175,0.39366399771731175,278
hyperparameter_tuned | CatBoost,housing_status,BA,phone_home_valid,0.358453575374615,-0.028373643562023907,278
hyperparameter_tuned | CatBoost,housing_status,BA,income,0.35111305202103554,0.20039081662424738,278
hyperparameter_tuned | CatBoost,housing_status,BA,name_email_similarity,0.3477114292026067,0.08350021938369832,278
hyperparameter_tuned | CatBoost,housing_status,BA,keep_alive_session,0.3330926753431007,0.03831026766745657,278
hyperparameter_tuned | CatBoost,housing_status,BA,current_address_months_count,0.2830280775842071,0.12884725388225385,278
hyperparameter_tuned | CatBoost,housing_status,BA,prev_address_months_count,0.26080038176241704,0.09074770339294035,278
hyperparameter_tuned | CatBoost,housing_status,BA,customer_age,0.24968418353193628,0.15072398705097895,278
hyperparameter_tuned | CatBoost,housing_status,BA,credit_risk_score,0.2448276078339858,0.17854522623967473,278
hyperparameter_tuned | CatBoost,housing_status,BA,intended_balcon_amount,0.23193576013028416,0.004860140824808311,278
hyperparameter_tuned | CatBoost,housing_status,BA,bank_branch_count_8w,0.2194604161219114,0.011571504342989135,278
hyperparameter_tuned | CatBoost,housing_status,BA,employment_status,0.16013403419344377,0.04935250109714853,278
hyperparameter_tuned | CatBoost,housing_status,BA,email_is_free,0.13164723683156618,-0.024306514412899913,278
hyperparameter_tuned | CatBoost,housing_status,BA,date_of_birth_distinct_emails_4w,0.1260791970877651,0.08651563477555635,278
hyperparameter_tuned | CatBoost,housing_status,BA,email_free__source,0.12127056532621655,-0.022259642720531148,278
hyperparameter_tuned | CatBoost,housing_status,BA,velocity_4w,0.11235165215762945,0.04020692955833343,278
hyperparameter_tuned | CatBoost,housing_status,BA,days_since_request,0.08636861113798254,-0.006666336803613462,278
hyperparameter_tuned | CatBoost,housing_status,BA,velocity_24h,0.08215942807267662,-0.0615080902517612,278
hyperparameter_tuned | CatBoost,housing_status,BB,device_os,0.4260693487869418,-0.10631770208384375,460
hyperparameter_tuned | CatBoost,housing_status,BB,has_other_cards,0.4033573551013031,-0.0033472728798430835,460
hyperparameter_tuned | CatBoost,housing_status,BB,phone_home_valid,0.36654978250762266,-0.06359465678200334,460
hyperparameter_tuned | CatBoost,housing_status,BB,current_address_months_count,0.33652749244627833,0.05828847449007982,460
hyperparameter_tuned | CatBoost,housing_status,BB,keep_alive_session,0.3200954034578583,-0.028589388438988183,460
hyperparameter_tuned | CatBoost,housing_status,BB,name_email_similarity,0.31997792905138467,0.06521839430052666,460
hyperparameter_tuned | CatBoost,housing_status,BB,prev_address_months_count,0.3164865562828334,0.037514217602838934,460
hyperparameter_tuned | CatBoost,housing_status,BB,income,0.29676372568031567,0.07532816700408751,460
hyperparameter_tuned | CatBoost,housing_status,BB,bank_branch_count_8w,0.20990377685295858,0.022595558596070847,460
hyperparameter_tuned | CatBoost,housing_status,BB,intended_balcon_amount,0.20279938295341718,0.07371835131979378,460
hyperparameter_tuned | CatBoost,housing_status,BB,employment_status,0.20197791877468474,-0.013388558836130599,460
hyperparameter_tuned | CatBoost,housing_status,BB,housing_status,0.19988296594774918,-0.19988296594774918,460
hyperparameter_tuned | CatBoost,housing_status,BB,customer_age,0.18646650704784531,0.06083701438899215,460
hyperparameter_tuned | CatBoost,housing_status,BB,email_is_free,0.13676520272561216,-0.023536399159959132,460
hyperparameter_tuned | CatBoost,housing_status,BB,credit_risk_score,0.12958600267153966,0.01697650482857689,460
hyperparameter_tuned | CatBoost,housing_status,BB,email_free__source,0.12429595603895452,-0.025315205241678955,460
